fips,pop_density
1.001000000000000000e+03,9.179999999999999716e+01
1.003000000000000000e+03,1.145999999999999943e+02
1.005000000000000000e+03,3.100000000000000000e+01
1.007000000000000000e+03,3.679999999999999716e+01
1.009000000000000000e+03,8.890000000000000568e+01
1.011000000000000000e+03,1.750000000000000000e+01
1.013000000000000000e+03,2.700000000000000000e+01
1.015000000000000000e+03,1.956999999999999886e+02
1.017000000000000000e+03,5.739999999999999858e+01
1.019000000000000000e+03,4.689999999999999858e+01
1.021000000000000000e+03,6.300000000000000000e+01
1.023000000000000000e+03,1.519999999999999929e+01
1.025000000000000000e+03,2.089999999999999858e+01
1.027000000000000000e+03,2.310000000000000142e+01
1.029000000000000000e+03,2.669999999999999929e+01
1.031000000000000000e+03,7.359999999999999432e+01
1.033000000000000000e+03,9.179999999999999716e+01
1.035000000000000000e+03,1.559999999999999964e+01
1.037000000000000000e+03,1.769999999999999929e+01
1.039000000000000000e+03,3.660000000000000142e+01
1.041000000000000000e+03,2.280000000000000071e+01
1.043000000000000000e+03,1.094000000000000057e+02
1.045000000000000000e+03,8.959999999999999432e+01
1.047000000000000000e+03,4.479999999999999716e+01
1.049000000000000000e+03,9.150000000000000000e+01
1.051000000000000000e+03,1.281999999999999886e+02
1.053000000000000000e+03,4.050000000000000000e+01
1.055000000000000000e+03,1.951999999999999886e+02
1.057000000000000000e+03,2.750000000000000000e+01
1.059000000000000000e+03,5.000000000000000000e+01
1.061000000000000000e+03,4.660000000000000142e+01
1.063000000000000000e+03,1.400000000000000000e+01
1.065000000000000000e+03,2.450000000000000000e+01
1.067000000000000000e+03,3.080000000000000071e+01
1.069000000000000000e+03,1.750999999999999943e+02
1.071000000000000000e+03,4.939999999999999858e+01
1.073000000000000000e+03,5.925000000000000000e+02
1.075000000000000000e+03,2.410000000000000142e+01
1.077000000000000000e+03,1.388000000000000114e+02
1.079000000000000000e+03,4.970000000000000284e+01
1.081000000000000000e+03,2.308000000000000114e+02
1.083000000000000000e+03,1.478000000000000114e+02
1.085000000000000000e+03,1.580000000000000071e+01
1.087000000000000000e+03,3.520000000000000284e+01
1.089000000000000000e+03,4.176999999999999886e+02
1.091000000000000000e+03,2.150000000000000000e+01
1.093000000000000000e+03,4.150000000000000000e+01
1.095000000000000000e+03,1.644000000000000057e+02
1.097000000000000000e+03,3.358999999999999773e+02
1.099000000000000000e+03,2.250000000000000000e+01
1.101000000000000000e+03,2.925000000000000000e+02
1.103000000000000000e+03,2.063000000000000114e+02
1.105000000000000000e+03,1.469999999999999929e+01
1.107000000000000000e+03,2.239999999999999858e+01
1.109000000000000000e+03,4.889999999999999858e+01
1.111000000000000000e+03,3.950000000000000000e+01
1.113000000000000000e+03,8.259999999999999432e+01
1.115000000000000000e+03,1.323000000000000114e+02
1.117000000000000000e+03,2.485000000000000000e+02
1.119000000000000000e+03,1.519999999999999929e+01
1.121000000000000000e+03,1.117000000000000028e+02
1.123000000000000000e+03,5.810000000000000142e+01
1.125000000000000000e+03,1.473000000000000114e+02
1.127000000000000000e+03,8.470000000000000284e+01
1.129000000000000000e+03,1.630000000000000071e+01
1.131000000000000000e+03,1.309999999999999964e+01
1.133000000000000000e+03,3.989999999999999858e+01
2.013000000000000000e+03,4.000000000000000222e-01
2.016000000000000000e+03,1.300000000000000044e+00
